name,institute
A K Dhar,"Indian Institute of Engineering Science and Technology Shibpur, India"
Abhijit Barman,"National Institute of Technology Silchar, India"
Abhishek Banerjee,"Israel Institute of Technology, Israel"
Ali Akbar Shaikh,"Burdwan University, India"
Ameeya Nayak,"Indian Institute of Technology Roorkee, India"
Amit Maji,"Indian Institute of Technology Roorkee, India"
Amit Verma,"Indian Institute of Technology Patna, India"
Angsuman Das,"Presidency University, India"
Anuradha Banerjee,"Indian Institute of Technology (BHU), India"
Ashish Awasthi,"National Institute of Technology Calicut, India"
Asoke Kumar Bhunia,"Burdwan University, India"
Atanu manna,"Indian Institute of Carpet Technology Bhadohi, India"
Atasi Deb Ray,"University of Calcutta, India"
Basudeb Ghosh,"Jadavpur University, India"
Bhagwat Ram,"Indian Institute of Technology (BHU), India"
Binayak S Choudhury,"Indian Institute of Engineering Science and Technology Shibpur, India"
Binod Chandra Tripathy,"Tripura University, India"
Bipan Hazarika,"Gauhati University, India"
Biswajit Mitra,"Burdwan University, India"
Debjani Chakraborty,"Indian Institute of Technology Kharagpur, India"
Deepmala,"Indian Statistical Institute Kolkata, India"
Dipak Jana,"Haldia Institute of Technology, India"
Dipesh Barman,"Indian Institute of Engineering Science and Technology Shibpur, India"
Dung Hoang Duong,"University of Wollongong, Australia"
Fahreddin Abdullayev,"Kyrgyz-Turkish Manas University, Kyrgyzstan"
Falguni Roy,"National Institute of Technology Surathkal, India"
Farida Parvez Barbhuiya,"BITS Pilani, Hyderabad, India"
Fidan Nuriyeva,"Ege University, Turkey"
Fouzul Atik,"SRM University, India"
Ganesh Ghorai,"Vidyasagar University, India"
Gopal Chandra Shit,"Jadavpur University, India"
Guru Prasad Samanta,"Indian Institute of Engineering Science and Technology Shibpur, India"
Hakan Kutucu,"Karabak University, Turkey"
Hari Shankar Prasad,"National Institute of Technology Jamshedpur, India"
Heinrich Begehr,"Free University Berlin, Germany"
Izhar Uddin,"Jamia Milia Islamia University, India"
Jayalakshmi Karamsi,"Jawaharlal Nehru Technological University Anantapur, India"
Jessica Pereira,"Goa University, India"
Konstantin Volkov,"Kingston University, Volkov"
Krishnendu Barman,"Vidyasagar University, India"
Kuntal Banerjee,"Presidency University, India"
Lakshmi Kanta Patra,"Indian Institute of Technology Ranchi, India"
Madan Mohan Panja,"Visva-Bharati University, India"
Madhumangal Pal,"Vidyasagar University, India"
Madhumangal Pal,"Vidyasagar University, India"
Manotosh Kumbhakar,"Texas A & M University, India"
Mantu Saha,"Burdwan University, India"
Masaya Yasuda,"Kyushu University, Japan"
Md Firoz Ali,"National Institute of Technology Durgapur, India"
Md Nasim Akhtar,"Presidency University, India"
Mikheil Rukhaia,"Institute of Applied Mathematics, Tbilisi State University, Georgia"
Moumita Mandal,"Indian Institute of Technology Jodhpur, India"
Nabakumar Jana,"Indian Institute of Technology (ISM) Dhanbad, India"
Naren Bag,"DWI - Leibnitz Institute of Interactive Materials, RWTH Aachen University, Germany"
Nipen Saikia,"Rajiv Gandhi University of Health Sciences, India"
Önder Türk,"Gebze Technical University, Turkey"
Osmita Dey,"Techno India University, India"
P D Srivastava,"Indian Institute of Technology Bhilai, India"
Partha Sarathi Majee,"Indian Institute of Technology Kharagpur, India"
Paulo Mateus,"Instituto Superior Tecnico, Portugal"
Pawan Kumar Mishra,"Indian Institute of Technology Bhilai, India"
Payel Mandal,"Techno India University, India"
Prabir Kumar Kundu,"Jadavpur University, India"
Prabir Panja,"Haldia Institute of Technology, India"
Prakash Goswami,"Indian Institute of Technology (BHU), India"
Prasanta Malik,"Burdwan University, India"
Pratap Chandra Ray,"Bethune College, India"
Pratulananda Das,"Jadavpur University, India"
Praveen Kumar Gupta,"National Institute of Technology Silchar, India"
Pritha Das,"Indian Institute of Engineering Science and Technology Shibpur, India"
Priyanka Roy,"Indian Institute of Technology Kharagpur, India"
Purushottam Narain Agarwal,"Indian Institute of Technology Roorkee, India"
Raju Roy,"Gauhati University, India"
Ranjit Mehtari,National Institute of Technology Rourkella
Rifat ÇOLAK,"Firat University, Turkey"
Rudrajit Sadhu,"Sreegopal Banerjee College, India"
Safique Ahmad,"Indian Institute of Technology Indore, India"
Saifur Rahman,"Rajiv Gandhi University of Health Sciences, India"
Sajal Mukhopadhyay,"National Institute of Technology Durgapur, India"
Samarjit Kar,"National Institute of Technology Rourkela, India"
Samiran Ghosh,"University of Calcutta, India"
Sanat Kumar Majumdar,"Indian Institute of Engineering Science and Technology Shibpur, India"
Sanjib Kumar Pal,"Kazi Nazrul University, India"
Sankar Kumar Roy,"Vidyasagar University, India"
Santanu Manna,"Indian Institute of Technology Indore, India"
Sarita Ojha,"Indian Institute of Engineering Science and Technology Shibpur, India"
Satya Bagchi,"National Institute of Technology Durgapur, India"
Saumya Bajpai,"Indian Institute of Technology Goa, India"
Shanmugam Dhinakaran,"Indian Institute of Technology Indore, India"
Shubhabrata Das,"Presidency University, India"
Shubhankar Saha,"Sir Gurudas Mahavidyalaya, India"
Shyamal Kumar Hui,"Burdwan University, India"
Shyamal Kumar Mondal,"Vidyasagar University, India"
Smriti Nath,"Indian Institute of Technology Kharagpur, India"
Snehasis Kundu,"National Institute of Technology Jamshedpur, India"
Somesh Kumar,"Indian Institute of Technology Kharagpur, India"
Soovoojeet Jana,"Ramsaday College, India"
Sourav Gupta,"Indian Institute of Technology Kharagpur, India"
Sourav Pradhan,"National Institute of Technology Nagpur, India"
Sree Vivek S,"School of Civil Engineering, SASTRA Deemed University, Thanjavur, India"
Sriparna Chattopadhyay,"National Institute of Foundry and Forge Technology Ranchi, India"
Subhra Bhattacharya,"Presidency University, India"
Suchandan Kayal,"National Institute of Technology Rourkela, India"
Sujit Kumar Sardar,"Jadavpur University, India"
Sukhendu Kar,"Jadavpur University, India"
Suman Rakshit,"Mankar College, India"
Sushil Kumar Bhuiya,"Krishnath College, India"
Suvra Kanti Chakraborty,"Sir Gurudas Mahavidyalaya, India"
Svetla Petkova-Nikova,"ESAT-COSIC, KU Leuven, Belgium"
Swadesh Kumar Sahoo,"Indian Institute of Technology Indore, India"
Vikas Kumar,"Indian Institute of Technology Mandi, India"
Vilem Novak,"University of Ostrava, Czechia"
Vishnu Pratap Singh,"Visvesvaraya National Institute of Technology Nagpur, India"
